Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Colombia;;Jan 2018;1529360;772892;all;N/A;median;383877;31;6013;1373;6.01;1.37
ETB;Colombia;;Jan 2018;168795;92267;all;N/A;median;51175;14;11252;6322;11.25;6.32
Movistar;Colombia;;Jan 2018;245872;145771;all;N/A;median;63434;41;5089;799;5.09;0.80
Claro;Colombia;;Jan 2018;588997;277740;all;N/A;median;157032;32;8102;2060;8.10;2.06
Tigo;Colombia;;Jan 2018;314076;157075;all;N/A;median;82631;19;6292;1710;6.29;1.71
All Providers Combined;Colombia;;feb-18;1611753;797852;all;N/A;median;390769;32;6490;1605;6.49;1.61
ETB;Colombia;;feb-18;165776;91272;all;N/A;median;51042;13;11420;6696;11.42;6.70
Movistar;Colombia;;feb-18;245266;146233;all;N/A;median;63623;40;5215;829;5.22;0.83
Claro;Colombia;;feb-18;695794;311261;all;N/A;median;168292;35;8328;2104;8.33;2.10
Tigo;Colombia;;feb-18;289587;145843;all;N/A;median;76571;19;6874;1839;6.87;1.84
All Providers Combined;Colombia;;mar-18;1638001;835723;all;N/A;median;405034;29;7025;1708;7.03;1.71
ETB;Colombia;;mar-18;167151;93192;all;N/A;median;51532;13;11733;6768;11.73;6.77
Movistar;Colombia;;mar-18;236803;142652;all;N/A;median;61974;39;5251;838;5.25;0.84
Claro;Colombia;;mar-18;708184;337953;all;N/A;median;181121;29;9414;2120;9.41;2.12
Tigo;Colombia;;mar-18;291250;148787;all;N/A;median;77552;19;6890;1828;6.89;1.83
All Providers Combined;Colombia;;Apr 2018;1607045;827680;all;N/A;median;399877;29;7927;1932;7.93;1.93
ETB;Colombia;;Apr 2018;155095;86874;all;N/A;median;48497;12;12091;7347;12.09;7.35
Movistar;Colombia;;Apr 2018;235166;143132;all;N/A;median;61303;39;5364;854;5.36;0.85
Claro;Colombia;;Apr 2018;681112;329186;all;N/A;median;175774;29;10246;2213;10.25;2.21
Tigo;Colombia;;Apr 2018;296096;151609;all;N/A;median;79363;20;8018;1949;8.02;1.95
All Providers Combined;Colombia;;may-18;1555388;819576;all;N/A;median;396094;28;8310;1993;8.31;1.99
ETB;Colombia;;may-18;153124;86898;all;N/A;median;48099;10;12081;7390;12.08;7.39
Movistar;Colombia;;may-18;233749;142267;all;N/A;median;61054;39;5268;864;5.27;0.86
Claro;Colombia;;may-18;649631;326340;all;N/A;median;175139;27;10536;2267;10.54;2.27
Tigo;Colombia;;may-18;287188;149709;all;N/A;median;77809;19;8044;1976;8.04;1.98
All Providers Combined;Colombia;;jun-18;1425320;746237;all;N/A;median;364117;27;8558;2029;8.56;2.03
ETB;Colombia;;jun-18;143942;79711;all;N/A;median;44013;10;11896;6903;11.90;6.90
Movistar;Colombia;;jun-18;210901;128193;all;N/A;median;56209;39;5203;856;5.20;0.86
Claro;Colombia;;jun-18;612080;302193;all;N/A;median;163431;25;10604;2318;10.60;2.32
Tigo;Colombia;;jun-18;260308;136878;all;N/A;median;71881;16;8425;1998;8.43;2.00
All Providers Combined;Colombia;;jul-18;1501353;797284;all;N/A;median;387949;26;9105;2066;9.11;2.07
ETB;Colombia;;jul-18;151147;84874;all;N/A;median;46565;9;12110;7261;12.11;7.26
Movistar;Colombia;;jul-18;218061;134737;all;N/A;median;58768;38;5227;855;5.23;0.86
Claro;Colombia;;jul-18;661252;332434;all;N/A;median;179204;23;10685;2340;10.69;2.34
Tigo;Colombia;;jul-18;266864;141544;all;N/A;median;74441;16;8658;2021;8.66;2.02
All Providers Combined;Colombia;;Aug 2018;1661066;876635;all;N/A;median;425943;24;9729;2121;9.73;2.12
ETB;Colombia;;Aug 2018;167177;94470;all;N/A;median;52138;7;13012;8267;13.01;8.27
Movistar;Colombia;;Aug 2018;216086;133520;all;N/A;median;58831;37;5246;858;5.25;0.86
Claro;Colombia;;Aug 2018;739086;369671;all;N/A;median;196244;23;10737;2412;10.74;2.41
Tigo;Colombia;;Aug 2018;317896;166477;all;N/A;median;86978;16;9197;2052;9.20;2.05
All Providers Combined;Colombia;;sep-18;1676862;883876;all;N/A;median;429534;26;10011;2153;10.01;2.15
ETB;Colombia;;sep-18;161799;91350;all;N/A;median;50609;7;13252;8488;13.25;8.49
Movistar;Colombia;;sep-18;212078;132536;all;N/A;median;59473;36;5343;861;5.34;0.86
Claro;Colombia;;sep-18;791069;390406;all;N/A;median;206525;28;10776;2512;10.78;2.51
Tigo;Colombia;;sep-18;284078;152667;all;N/A;median;80306;16;9429;2066;9.43;2.07
All Providers Combined;Colombia;;oct-18;1517704;812532;all;N/A;median;371918;26;10179;2200;10.18;2.20
ETB;Colombia;;oct-18;160896;91264;all;N/A;median;49094;7;13694;9598;13.69;9.60
